,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6,MR1_checker,MR2_checker,MR3_checker,MR4_checker,MR5_checker,MR6_checker
38666,6.163314804034641,6.163314804034641,10.02251425895777,11.656376247375189,-6.163314804934641,7.261927092702751,6.163314804034641,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
38679,6.356107660695892,6.356107660695891,7.375255778009754,9.65194452670022,-6.356107660795891,7.4547199493640015,4.969813299576001,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
38695,6.73340189183736,6.73340189183736,7.575584651557794,10.02923875784169,-6.733401891937358,7.83201418050547,4.248495242049359,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
38810,17.27439101580702,17.27439101580702,21.51718823674173,27.161901613820003,-17.27439101780702,18.37300330447513,16.17577872713891,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
38893,7.052721049232323,7.052721049232323,9.210340371976182,11.44717020390476,-7.052721049632323,8.151333337900432,6.359573868672378,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
38928,16.914521180971768,16.914521180971764,20.88206489629817,26.802031778984755,-16.914521180771768,18.01313346963988,15.305083268537668,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
38993,6.522092798170153,6.522092798170153,7.50659178007084,9.817929664174482,-6.522092798370152,7.620705086838263,3.6888794541139367,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39027,11.382588963242226,11.382588963242224,13.849796035930824,17.974262695250882,-11.382588964042226,12.481201251910337,9.996294602122337,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39042,7.662937850461535,7.662937850461535,8.338066525518801,10.958774716465864,-7.662937851061535,8.761550139129644,5.717027701406222,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39049,10.425134414933702,10.425134414933702,12.157470463690958,15.918195858274249,-10.4251344140337,11.52374670360181,8.633374945705647,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39191,8.700514248543275,8.700514248543275,9.911455722185304,13.094963403215717,-8.700514248443275,9.799126537211384,6.302618975744904,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39237,9.469622969906265,9.469622969906268,10.479201636203976,13.864072124578705,-9.469622970106265,10.568235258574374,7.16703787691222,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39247,7.902487437162854,7.902487437162854,8.489616423646002,11.198324303167183,-7.902487437762854,9.001099725830963,5.1298987149230735,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39327,4.382026634673881,4.382026634673881,6.349138991379798,7.67786350067821,-4.382026634673881,5.480638923341991,2.079441541679836,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39352,10.97370036668254,10.97370036668254,12.58313827911664,16.466761810023087,-10.97370036718254,12.072312655350649,9.87508807801443,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39397,8.288534459413917,8.288534459413917,8.812843433517195,11.584371325418246,-8.288534459113919,9.387146748082026,5.455321115357702,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39407,7.91425227874244,7.91425227874244,8.53346016388011,11.210089144746773,-7.914252278842442,9.01286456741055,5.834810737062605,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39440,8.56331312702979,8.56331312702979,9.88328484521861,12.957762281702228,-8.56331312702979,9.6619254156979,7.1770187659099,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
39495,8.0861025356691,8.0861025356691,8.666991556504632,11.38193940167343,-8.0861025375691,9.18471482433721,5.14166355650266,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated,Not-violated
