,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
14008,22,17,28,66,d/0,22,22
14009,25,31,31,75,0.4333333333,25,25
14010,7,7,13,21,0.4411764706,7,7
14011,32,32,38,96,0.30000000000000004,32,32
14012,35,16,41,105,d/0,35,14
14013,-4,-4,2,-12,0.0473684211,18,-9
14014,24,24,30,72,d/0,24,24
14015,21,34,27,63,1.2,21,16
14016,7,15,13,21,0.22222222219999999,7,7
14017,12,12,18,36,0.9444444444,12,12
14018,22,10,28,66,0.5526315789,22,22
14019,-13,-7,-7,-39,-0.1388888889,1,-13
14020,23,31,29,69,0.5833333332999999,23,23
14021,16,4,22,48,-0.2807017544,22,-18
14022,12,12,18,36,0.44444444439999997,12,-7
14023,33,36,39,99,0.33333333330000003,33,33
14024,6,4,12,18,d/0,6,6
14025,33,20,39,99,2.0,33,33
14026,11,16,17,33,d/0,11,11
14027,19,13,25,57,d/0,19,19
14028,21,26,27,63,0.5769230769,21,21
14029,31,29,37,93,d/0,31,31
14030,12,19,18,36,1.25,12,5
14031,31,31,37,93,0.95,31,23
14032,17,28,23,51,1.0625,17,17
14033,-6,-6,0,-18,0.030701754400000003,-6,-7
14034,10,10,16,30,0.012605042000000004,17,10
14035,24,24,30,72,d/0,24,24
14036,-7,-10,-1,-21,0.9285714286,-5,-11
14037,14,14,20,42,d/0,21,14
14038,23,16,29,69,1.1111111111,23,23
