,output_testInput,output_MR1,output_MR2,output_MR3,output_MR4,output_MR5,output_MR6
811,10,10,10,10,10,11,9
812,5,5,5,5,5,6,4
813,11,11,12,11,d/0,12,10
814,5,5,5,5,5,6,4
815,6,6,6,6,6,7,5
816,12,12,13,12,d/0,13,11
817,8,8,7,8,8,9,7
818,14,14,14,14,14,15,13
819,9,9,10,9,d/0,10,8
820,5,5,5,5,5,6,4
821,5,5,6,5,d/0,6,4
822,7,7,7,7,7,8,6
823,3,3,3,3,3,4,2
824,7,7,6,7,7,8,6
825,6,6,5,6,6,7,5
826,8,8,8,8,8,9,7
827,9,9,9,9,d/0,10,8
828,10,10,10,10,10,11,9
829,6,6,6,6,6,7,5
830,7,7,8,7,d/0,8,6
831,8,8,8,8,8,9,7
832,9,9,9,9,9,10,8
833,11,11,11,11,11,12,10
834,5,5,6,5,d/0,6,4
835,5,5,5,5,5,6,4
836,12,12,12,12,12,13,11
